list_source,api_developer_name,distinct_url_count
https://mydata.athenahealth.com/static/servicebaseurls.json,"athenahealth, Inc.",4
https://oauth.astronautehr.com/SmartOnFHIR/ValidURLs.json,"Astronaut, LLC",1
https://oauth.crystalpm.net/SmartOnFHIR/ValidURLs.json,"Abeo Solutions, Inc",1
https://oauth.ipatientcare.net/api/FHIREndpoint,AssureCare LLC,62
https://oauth.patientwebportal.com/Fhir/DownloadBundle,"MicroFour, Inc.",1
https://oauth.practicesuite.com/SmartOnFHIR/ValidURLs.json,"PracticeSuite, Inc.",1
https://oauth.smartmd.com/SmartOnFHIR/ValidURLs.json,"SMARTMD Technologies, Inc.",1
https://oauth.webedoctor.com:9445/SmartOnFHIR/validurls.json,"WEBeDoctor, Inc.",1
https://objectivemedicalsystems.com/wp-content/uploads/2025/09/fhir-endpoints-g-10-bundle-2.json,"Objective Medical Systems, LLC",1
https://onc.fhir.clynyx.com/service-base-urls.json,Rigel Networks,1
https://oncapi.medvantage.tech/service-base-url-list,CRITERION TECH PRIVATE LIMITED,1
https://onetouchemr.com/ServiceBaseURLS.json,"OT EMR, Inc.",8
https://open-api.clinicomp.com:8445/fhir/Organization?_include=Organization:endpoint,"CliniComp, Intl.",1
https://open.epic.com/Endpoints/R4,Epic Systems Corporation,449
https://open.platform.veradigm.com/fhirendpoints/download/R4?endpointFilter=Patient,Veradigm,1744
https://patagoniahealth.com/hubfs/FHIRBaseURL.json,Patagonia Health,1
https://patient360.anthem.com/P360Member/fhir,"CareEvolution, Inc.",58
https://patientportal.streamlinemd.com/FHIRReg/Servicebaseurl.json,"StreamlineMD, LLC",1
https://pic-fhir.harrisambulatory.com/endpoints/r4,Doc-tor.com,22
https://portal.broadstreetcare.com/api/fhir/service-base,BroadStreet Health LLC,1
https://portal.claimpower.com/2015ECURES/documents/ValidURLs.json,"Claimpower, Inc.",1
https://portal.escribe.com/ehr/api/endpoint-and-organizations-bundle,"Lille Group, Inc.",1
https://portal.ezcaretech.com:30112/fhir/baseUrls.json,"ezCaretech Co., Ltd.",2
https://portal.viewmymed.com/fhir/Endpoint,"Health Systems Technology, Inc.",1
https://proda.mediemr.net:8443/pls/htmldb/MEDIDATA.GEN_FHIR_JSON_FOR_ALL_OFFICES,"Medi-EHR, LLC",1
https://product.mphrx.com/minerva/fhir/r4/bundle,agilon health inc.,1
https://provider.myhelo.com/fhir/base,"myhELO, Inc.",1
https://providerapi.advancedmd.com/v1/r4/endpoints,AdvancedMD,6048
https://public-api.gastro.prod.fhir.ema-api.com/fhir/r4/Endpoint?_include=Endpoint:managingOrganization&connection-type=hl7-fhir-rest,"Modernizing Medicine Gastroenterology, LLC",100
https://public-api.gastro.prod.fhir.ema-api.com/fhir/r4/Endpoint?_include=Endpoint:managingOrganization&connection-type=hl7-fhir-rest,Modernizing Medicine Inc.,100
https://public-api.mmi.prod.fhir.ema-api.com/fhir/r4/Endpoint?_include=Endpoint:managingOrganization&connection-type=hl7-fhir-rest,"Eyefinity, Inc.",100
https://public-api.mmi.prod.fhir.ema-api.com/fhir/r4/Endpoint?_include=Endpoint:managingOrganization&connection-type=hl7-fhir-rest,Modernizing Medicine Inc.,100
https://public-files.oystehr.com/endpoint.json,MassLight,1
https://pul-fhir.harrisambulatory.com/endpoints/r4,"Pulse Systems, Inc",20
https://raw.githubusercontent.com/oracle-samples/ignite-endpoints/refs/heads/main/oracle_health_fhir_endpoints/millennium_patient_r4_endpoints.json,Oracle Health,1319
https://raw.githubusercontent.com/oracle-samples/ignite-endpoints/refs/heads/ohaas-example/oracle_health_ai_application_suite/patient_r4_endpoints.json,Oracle Health,1
https://resources.insynchcs.com/docrepos/InSyncDocs/insync-fhir-org-list-uscdi-v3.json,"Qualifacts Systems, LLC",2607
https://retinex-apim.azure-api.net/smart/service-base,"Retinex, Inc.",1
https://revolutionehr.dynamicfhir.com/fhir/r4/endpoints,"Health Innovation Technologies, Inc.",228
https://royalsolutionsgroup.com/web/company/cert/FHIRBundleEndpoint.json,"Royal Health, Inc.",1
https://service-base-urls.api.fhir.athena.io/athena-fhir-service-base-urls.json,"athenahealth, Inc.",23145
https://services.ezemrx.com/ezEMRx/fhir/ezemrxBundleValid.json,ezEMRx Inc,1
https://services.fhir.nextgen.com/FhirServiceBaseBundle-R4,NextGen Healthcare,1
https://smartonfhir.myeyecarerecords.com/fhir/Organization?_include=Organization:endpoint&type=prov&_format=application/fhir+json,"Optivate Health, LLC",44
https://spacinternational.com/ValidURLs.json,Sargas Pharmaceutical Adherence and Compliance International,1
https://staging.pemr.com:93/api/service_base_url/examples/testBundleValid,"Physicians EMR, LLC",1
https://static.glaceemr.com/endpoints/urls.json,Glenwood Systems LLC,567
